id,user_id,lesson_id,attemps,points,created,querytext
113,062b66b7-b374-43b8-8004-a67dfc782297,12541,4,1,2020-10-07 13:30:40.205081,Quiero un tutorial para frontend movil
114,062b66b7-b374-43b8-8004-a67dfc782297,12204,3,1,2020-10-07 13:30:48.150991,Quiero un tutorial para frontend movil
115,062b66b7-b374-43b8-8004-a67dfc782297,11601,2,3,2020-10-07 13:30:59.916018,Quiero un tutorial para frontend movil
116,062b66b7-b374-43b8-8004-a67dfc782297,11619,1,2,2020-10-07 13:31:10.307877,Quiero un tutorial para frontend movil
117,127deefc-ebc6-472e-b6c1-3e8fc7e98b06,12199,1,3,2020-10-07 13:34:38.876313,react
118,8788c8c1-2aeb-47ce-86fb-dabdec50ef86,12612,5,1,2020-10-07 13:36:02.779793,css
119,8788c8c1-2aeb-47ce-86fb-dabdec50ef86,12303,4,1,2020-10-07 13:36:09.961878,css
120,8788c8c1-2aeb-47ce-86fb-dabdec50ef86,12484,3,1,2020-10-07 13:36:18.307050,css
121,8788c8c1-2aeb-47ce-86fb-dabdec50ef86,12509,2,1,2020-10-07 13:36:25.446923,css
122,8788c8c1-2aeb-47ce-86fb-dabdec50ef86,12521,1,1,2020-10-07 13:36:32.292215,css
123,8788c8c1-2aeb-47ce-86fb-dabdec50ef86,12120,1,4,2020-10-07 13:37:04.122327,entrégame buenas prácticas
124,8788c8c1-2aeb-47ce-86fb-dabdec50ef86,12129,2,5,2020-10-07 13:37:44.359609,Necesito ayuda con la planificacion de tareas
125,8788c8c1-2aeb-47ce-86fb-dabdec50ef86,11175,1,5,2020-10-07 13:37:54.579842,Necesito ayuda con la planificacion de tareas
126,8788c8c1-2aeb-47ce-86fb-dabdec50ef86,12227,2,4,2020-10-07 13:39:22.234338,python
127,8788c8c1-2aeb-47ce-86fb-dabdec50ef86,12214,1,2,2020-10-07 13:39:32.989180,python
128,8788c8c1-2aeb-47ce-86fb-dabdec50ef86,12610,3,2,2020-10-07 13:39:54.742435,react
